ALD,ATFD,CALIN,CC,CCL,CDISP,CEXT,CINT,CM,CYCLO,FANIN,FANOUT,FANOUTCLASS,FDP,LAA,LOC,MAXNESTING,NOAV,NOEU,NOLV,NOP,is_brain
0,0,1,0,9,0,0,0,0,1,0,3,3,0,1,6,0,0,0,0,1,FALSE
2,2,2,0,8,1,1,1,1,1,2,12,5,1,0.5,16,0,6,1,0,1,FALSE
0,0,1,0,4,0,0,0,0,1,0,3,3,0,1,6,0,0,0,0,1,FALSE
1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,3,0,2,1,0,1,FALSE
6,0,23,2,2,0,0,0,2,8,2,14,8,0,1,55,2,12,2,6,0,FALSE
2,0,0,2,3,0,0,0,2,1,2,9,6,0,1,8,0,4,2,2,0,FALSE
0,0,3,0,1,0,0,0,0,3,2,13,7,0,1,27,3,7,0,5,1,TRUE
18,2,6,1,6,0.67,2,3,1,11,1,6,4,1,0.9,45,3,21,1,11,0,FALSE
1,0,0,1,1,0,0,0,1,1,3,0,0,0,1,3,0,1,1,0,0,FALSE
3,0,0,0,9,1,2,2,0,2,0,4,4,0,1,8,1,4,0,0,1,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,FALSE
1,0,0,3,1,0,0,0,3,1,3,0,0,0,1,3,0,1,3,0,0,FALSE
1,0,0,3,1,0,0,0,3,1,3,0,0,0,1,3,0,1,3,0,0,FALSE
2,0,0,1,2,0,0,0,1,2,2,1,1,0,1,5,1,2,1,0,1,FALSE
0,2,0,0,3,1,2,2,0,3,1,4,3,2,0,3,0,3,0,0,2,FALSE
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,FALSE
1,0,0,3,1,0,0,0,3,1,3,0,0,0,1,3,0,1,3,0,0,FALSE
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,FALSE
8,3,7,1,4,0,0,0,1,2,1,26,15,2,0.73,56,1,22,1,5,1,FALSE
2,0,1,1,3,0,0,0,1,1,1,9,6,0,1,13,0,7,1,0,4,FALSE
6,0,0,1,3,0,0,0,1,1,1,3,3,0,1,11,0,11,1,0,4,FALSE
9,5,0,1,4,0.33,3,9,1,10,1,9,3,3,0.64,36,3,14,1,2,3,TRUE
5,1,0,1,8,1,1,1,1,10,1,2,2,1,0.83,24,6,7,1,3,1,TRUE
6,0,0,0,1,0,0,0,0,5,0,1,1,0,1,22,2,10,0,0,3,TRUE
4,0,0,1,1,0,0,0,1,1,1,0,0,0,1,6,0,8,1,0,4,FALSE
10,8,0,1,7,0.44,4,9,1,7,1,12,5,3,0.56,28,4,10,1,1,1,TRUE
1,0,0,2,1,0,0,0,2,1,2,0,0,0,1,3,0,1,2,0,0,FALSE
1,0,0,1,1,0,0,0,4,1,4,0,0,0,1,3,0,1,4,0,0,FALSE
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,FALSE
1,0,0,2,1,0,0,0,2,1,2,0,0,0,1,3,0,1,2,0,0,FALSE
1,0,0,1,1,0,0,0,4,1,4,0,0,0,1,3,0,1,4,0,0,FALSE
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,FALSE
1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,3,0,1,0,0,0,FALSE
1,0,0,4,1,0,0,0,6,1,6,0,0,0,1,3,0,1,6,0,0,FALSE
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3,0,1,0,0,0,FALSE
2,0,0,1,2,0,0,0,1,1,1,1,0,0,1,3,0,3,1,0,0,FALSE
1,3,0,1,2,0.5,1,2,1,3,2,2,1,2,0.25,7,1,5,1,1,2,FALSE
1,0,0,2,1,0,0,0,2,1,2,0,0,0,1,3,0,1,2,0,0,FALSE
1,3,0,2,2,0.5,1,2,2,3,3,2,1,2,0.25,7,1,5,2,1,2,FALSE
2,3,0,3,1,0,0,0,4,5,6,0,0,1,0.4,6,1,6,4,0,2,TRUE
1,0,0,4,1,0,0,0,4,1,4,0,0,0,1,3,0,1,4,0,0,FALSE
7,4,1,1,2,1,1,1,1,1,1,2,2,1,0.64,13,0,12,1,0,1,FALSE
1,0,1,1,8,1,1,1,1,2,3,4,3,0,1,9,1,2,1,0,1,FALSE
0,2,0,1,2,0,0,0,1,3,1,1,1,1,0,6,2,5,1,2,1,FALSE
8,0,0,1,1,0,0,0,1,2,2,3,2,0,1,11,1,11,1,0,0,FALSE
0,2,0,0,7,0.5,2,4,0,2,1,5,3,1,0,8,1,2,0,1,1,FALSE
1,5,0,0,3,0.33,1,3,0,5,1,3,1,3,0.17,11,1,6,0,1,1,TRUE
2,1,0,5,1,0,0,0,6,2,7,1,1,1,0.67,10,1,7,6,0,3,FALSE
1,4,0,0,4,0.75,3,4,0,2,1,5,4,3,0.2,8,1,7,0,1,2,FALSE
2,0,0,1,1,0,0,0,1,1,1,0,0,0,1,4,0,4,1,0,2,FALSE
0,0,0,0,9,1,1,1,0,1,0,1,1,0,1,3,0,1,0,0,1,FALSE
0,0,0,0,1,0,0,0,0,6,18,1,0,1,27,0,4,0,0,20,20,TRUE
10,0,0,1,1,0,0,0,1,1,1,0,0,1,12,0,20,1,0,10,10,TRUE
0,0,0,0,2,0,0,0,0,2,0,1,0,1,8,1,2,0,0,10,10,TRUE
0,0,1,0,2,0,0,0,0,1,0,2,0,1,4,0,11,0,1,10,10,FALSE
0,0,0,0,2,0,0,0,0,1,0,2,0,1,4,0,10,0,0,10,10,FALSE
0,0,2,0,2,1,1,1,0,1,0,4,0,1,7,0,13,0,3,9,9,FALSE
0,0,0,0,3,0,0,0,0,3,0,2,0,1,13,2,9,0,0,9,9,FALSE
0,0,0,0,2,1,1,1,0,1,0,2,0,1,3,0,9,0,0,9,9,TRUE
0,0,0,0,5,0,0,0,0,8,1,2,0,1,16,2,11,0,2,8,8,TRUE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,8,8,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,8,8,FALSE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,4,0,1,0,0,8,8,TRUE
1,0,1,0,5,0.5,1,2,0,5,0,11,0,1,34,1,17,0,3,8,8,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,8,8,TRUE
0,0,0,0,2,1,1,1,0,2,0,4,0,1,9,0,1,0,0,8,8,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,0,0,0,0,8,8,TRUE
0,0,0,1,3,1,1,1,1,1,1,1,0,1,13,0,1,1,0,8,8,TRUE
0,0,1,0,2,0,0,0,0,1,1,2,0,1,5,0,11,0,2,8,8,FALSE
0,2,2,0,2,0,0,0,0,1,0,4,1,0,18,2,15,0,4,8,8,TRUE
0,0,0,2,1,0,0,0,3,1,3,0,0,1,10,0,0,3,0,8,8,TRUE
0,0,2,0,5,0,0,0,0,2,0,7,0,1,18,1,8,0,2,8,8,TRUE
1,0,0,0,2,1,1,1,0,1,1,1,0,1,3,0,9,0,0,8,8,FALSE
1,0,0,0,2,1,1,1,0,3,0,3,0,1,14,2,9,0,0,8,8,FALSE
1,0,0,0,2,1,1,1,0,1,1,1,0,1,3,0,9,0,0,8,8,TRUE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,7,FALSE
0,0,0,0,1,0,0,0,0,3,0,0,0,1,10,0,0,0,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,FALSE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,5,0,5,0,0,7,7,TRUE
0,0,2,0,2,0,0,0,0,2,0,3,0,1,18,1,4,0,0,7,7,TRUE
0,0,0,1,1,0,0,0,2,0,2,0,0,1,0,0,0,2,0,7,7,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,7,7,FALSE
1,1,0,0,2,0,0,0,0,1,0,2,1,0.5,8,0,4,0,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,7,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,7,TRUE
0,0,0,1,1,0,0,0,1,1,1,0,0,1,9,0,0,1,0,7,7,TRUE
0,0,0,1,1,0,0,0,1,1,1,0,0,1,9,0,0,1,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,1,0,1,0,1,9,0,1,0,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,7,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,7,7,TRUE
1,0,1,1,1,0,0,0,1,1,1,2,0,1,9,0,6,1,1,7,7,TRUE
0,0,0,1,3,0,0,0,1,1,1,1,0,1,3,0,7,1,0,7,7,FALSE
0,0,1,0,1,0,0,0,0,2,0,3,0,1,13,1,7,0,0,7,7,FALSE
0,0,0,0,2,0,0,0,0,2,0,2,0,1,34,1,9,0,2,7,7,TRUE
1,0,0,0,2,1,1,1,0,1,0,1,0,1,3,0,8,0,0,7,7,FALSE
0,0,0,1,3,0,0,0,1,1,1,2,0,1,3,0,7,1,0,7,7,TRUE
1,0,0,1,2,1,1,1,1,1,1,1,0,1,3,0,8,1,0,7,7,TRUE
8,0,2,0,2,1,1,1,0,9,0,9,0,1,32,3,22,0,8,7,7,TRUE
0,0,1,1,1,0,0,0,1,2,1,2,0,1,15,1,10,1,2,7,7,TRUE
0,0,0,0,3,0,0,0,0,2,0,3,0,1,5,1,7,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,2,0,0,1,11,0,0,0,0,6,6,TRUE
0,0,0,1,1,0,0,0,2,1,2,0,0,1,4,0,0,2,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,FALSE
0,0,1,0,2,0,0,0,0,1,0,1,0,1,8,0,6,0,0,6,6,FALSE
0,0,0,0,1,0,0,0,0,1,3,0,0,1,4,0,0,0,0,6,6,TRUE
0,0,3,0,3,0,0,0,0,1,3,3,0,1,4,0,7,0,1,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,6,6,TRUE
0,0,0,2,2,1,1,1,3,1,3,1,0,1,3,0,7,3,0,6,6,TRUE
0,0,0,1,2,1,1,1,1,1,1,1,0,1,3,0,7,1,0,6,6,TRUE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,6,6,FALSE
0,0,0,1,1,0,0,0,2,0,2,0,0,1,0,0,0,2,0,6,6,FALSE
0,0,0,1,1,0,0,0,1,7,3,0,0,1,18,2,0,1,6,6,6,TRUE
0,0,0,0,2,0,0,0,0,3,0,9,0,1,12,1,6,0,0,6,6,TRUE
0,0,0,1,2,0,0,0,1,1,1,1,0,1,4,0,7,1,0,6,6,TRUE
0,0,0,0,2,0,0,0,0,2,1,5,0,1,16,1,10,0,2,6,6,TRUE
0,0,0,0,1,0,0,0,0,6,3,5,0,1,33,3,11,0,8,6,6,TRUE
0,0,0,0,2,1,1,1,0,19,3,1,0,1,51,3,3,0,6,6,6,TRUE
0,0,0,0,2,1,1,1,0,19,3,1,0,1,51,3,3,0,6,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,1,0,0,1,8,0,0,0,0,6,6,TRUE
0,5,0,0,2,0.2,1,5,0,2,2,10,1,0,10,1,5,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,FALSE
0,0,2,0,2,0,0,0,0,2,0,1,0,1,6,1,4,0,0,6,6,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,6,6,TRUE
0,0,1,0,1,0,0,0,0,1,1,2,0,1,8,0,8,0,0,6,6,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,4,0,6,0,0,6,6,TRUE
0,0,1,0,2,0,0,0,0,1,0,1,0,1,3,0,6,0,0,6,6,TRUE
0,0,1,0,3,0,0,0,0,1,0,1,0,1,3,0,6,0,0,6,6,TRUE
0,0,0,1,1,0,0,0,1,1,1,0,0,1,3,0,0,1,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,6,6,TRUE
0,0,0,1,1,0,0,0,1,1,4,0,0,1,8,0,0,1,0,6,6,TRUE
0,0,0,4,2,0,0,0,5,1,5,1,0,1,10,0,1,5,0,6,6,TRUE
0,0,3,0,3,1,1,1,0,10,1,3,0,1,44,1,10,0,5,6,6,TRUE
0,0,2,0,3,0,0,0,0,2,0,3,0,1,15,2,7,0,3,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,6,6,TRUE
0,0,0,1,2,0,0,0,1,1,1,1,0,1,7,0,3,1,1,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,0,0,0,0,6,6,TRUE
0,0,0,2,1,0,0,0,2,1,2,0,0,1,9,0,0,2,0,6,6,TRUE
0,0,0,0,2,0,0,0,0,1,1,2,0,1,6,0,7,0,1,6,6,TRUE
0,0,0,0,2,0,0,0,0,3,0,5,0,1,14,2,9,0,5,6,6,TRUE
0,0,2,0,2,0,0,0,0,2,1,6,0,1,14,1,6,0,2,6,6,TRUE
0,0,0,0,3,0,0,0,0,1,0,1,0,1,3,0,6,0,0,6,6,TRUE
0,0,0,1,4,0,0,0,1,1,1,3,0,1,26,0,2,1,4,6,6,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,5,0,1,0,0,6,6,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,5,0,1,0,0,6,6,TRUE
1,0,6,0,1,0,0,0,0,2,1,7,0,1,12,1,8,0,2,6,6,TRUE
1,0,4,0,1,0,0,0,0,2,2,6,0,1,17,2,9,0,2,6,6,TRUE
1,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,7,0,0,6,6,FALSE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,9,0,1,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,6,6,TRUE
0,0,0,0,2,0.5,1,2,0,1,0,6,0,1,14,0,10,0,4,6,6,TRUE
0,0,1,2,3,0,0,0,2,3,4,2,0,1,15,1,8,2,2,6,6,TRUE
0,0,1,0,2,0,0,0,0,1,0,1,0,1,3,0,1,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,0,0,0,0,6,6,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,3,0,1,0,1,7,1,2,0,0,5,5,TRUE
0,0,2,1,3,1,1,1,1,3,1,4,0,1,12,1,6,1,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,3,0,1,0,0,0,0,1,0,5,0,1,13,2,5,0,3,5,5,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,5,5,TRUE
0,0,0,0,4,0,0,0,0,1,3,1,0,1,3,0,5,0,0,5,5,TRUE
0,0,3,0,1,0,0,0,0,1,1,4,0,1,5,0,7,0,2,5,5,TRUE
0,0,3,0,3,0,0,0,0,1,1,5,0,1,15,0,9,0,4,5,5,TRUE
0,0,1,1,2,0,0,0,2,1,2,2,0,1,15,0,2,2,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,8,0,0,0,0,5,5,TRUE
0,0,0,1,1,0,0,0,1,1,1,0,0,1,7,0,0,1,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,2,2,1,0,1,7,1,2,0,1,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,1,0,1,3,0,5,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,1,0,1,3,0,5,0,0,5,5,TRUE
0,0,0,1,3,0,0,0,2,1,2,1,0,1,3,0,5,2,0,5,5,TRUE
0,0,0,2,3,0,0,0,3,1,4,1,0,1,3,0,5,3,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,7,0,2,0,1,19,2,5,0,3,5,5,TRUE
0,0,0,1,2,1,1,1,1,1,1,1,0,1,3,0,6,1,0,5,5,FALSE
0,0,0,3,2,1,1,1,3,1,3,1,0,1,3,0,6,3,0,5,5,FALSE
0,0,0,2,2,1,1,1,2,1,2,1,0,1,3,0,6,2,0,5,5,FALSE
0,0,0,4,2,1,1,1,4,1,4,1,0,1,3,0,6,4,0,5,5,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5,5,FALSE
0,0,0,2,1,0,0,0,2,0,2,0,0,1,0,0,0,2,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,1,0,1,0,1,3,0,5,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,2,0,7,0,1,10,1,5,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,2,0,6,0,1,8,1,5,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,3,0,8,0,1,12,1,5,0,0,5,5,FALSE
0,0,0,0,4,0,0,0,0,2,0,6,0,1,6,1,7,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,2,0,5,0,1,6,1,6,0,0,5,5,FALSE
0,0,0,0,5,0,0,0,0,2,0,5,0,1,15,1,9,0,2,5,5,FALSE
0,0,0,0,4,0,0,0,0,2,1,6,0,1,6,1,7,0,0,5,5,FALSE
0,0,0,1,3,0,0,0,1,3,3,2,0,1,11,2,8,1,1,5,5,FALSE
0,0,0,0,2,0,0,0,0,3,2,1,0,1,11,2,6,0,1,5,5,FALSE
0,0,0,0,1,0,0,0,0,11,1,2,0,1,46,2,2,0,8,5,5,TRUE
0,0,0,0,2,1,1,1,0,11,1,2,0,1,41,3,5,0,5,5,5,TRUE
0,0,0,3,2,0,0,0,3,17,3,4,0,1,74,2,9,3,10,5,5,TRUE
0,0,0,0,7,0,0,0,0,3,1,1,0,1,9,2,2,0,2,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,2,1,0,1,3,0,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,3,0,1,7,0,3,0,0,5,5,TRUE
1,0,1,0,2,1,1,1,0,1,0,2,0,1,5,0,7,0,1,5,5,TRUE
1,0,1,0,2,1,1,1,0,1,0,2,0,1,5,0,7,0,1,5,5,TRUE
1,0,1,0,2,1,1,1,0,1,0,2,0,1,5,0,7,0,1,5,5,TRUE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5,5,FALSE
0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,1,1,1,1,0,1,4,0,1,1,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,0,0,0,5,5,TRUE
0,0,0,0,2,0,0,0,1,1,1,1,0,1,4,0,1,1,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,6,0,0,0,0,5,5,TRUE
0,0,2,0,2,0,0,0,0,2,1,1,0,1,6,1,3,0,0,5,5,FALSE
0,0,0,0,2,0,0,0,1,1,1,1,0,1,4,0,1,1,0,5,5,TRUE
2,0,0,0,4,0,0,0,0,2,1,5,0,1,12,1,12,0,3,5,5,TRUE
0,0,0,0,1,0,0,0,0,2,1,4,0,1,11,1,12,0,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,3,0,0,0,0,1,0,1,0,1,4,0,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,2,0,1,4,0,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,2,0,1,4,0,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,1,0,1,4,0,3,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,5,5,TRUE
0,0,1,0,2,0,0,0,0,5,0,1,0,1,48,1,3,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,1,1,1,0,0,1,7,0,0,1,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,2,1,0,0,1,10,1,0,0,0,5,5,TRUE
0,0,2,0,2,0,0,0,0,1,0,3,0,1,4,0,6,0,1,5,5,FALSE
0,0,0,2,1,0,0,0,3,1,3,0,0,1,7,0,0,3,0,5,5,TRUE
0,0,8,1,5,0,0,0,1,7,1,4,0,1,29,3,9,1,5,5,5,TRUE
0,0,6,0,5,0,0,0,0,5,0,3,0,1,24,3,8,0,4,5,5,TRUE
0,0,1,0,3,0,0,0,0,3,0,2,0,1,6,1,6,0,3,5,5,TRUE
0,0,1,0,3,0,0,0,0,3,0,2,0,1,6,1,6,0,3,5,5,TRUE
0,0,1,0,3,1,1,1,0,5,0,2,0,1,7,1,5,0,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,1,0,4,0,0,0,0,1,1,3,0,1,16,2,7,0,2,5,5,TRUE
0,1,4,0,2,0,0,0,0,5,1,5,1,0,25,1,15,0,11,5,5,TRUE
0,6,1,0,3,0,0,0,0,2,1,4,1,0,24,2,9,0,2,5,5,TRUE
0,0,0,0,4,0,0,0,0,1,0,2,0,1,3,0,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,2,0,3,0,1,10,1,6,0,0,5,5,TRUE
0,0,0,0,2,1,1,1,0,1,0,1,0,1,6,0,1,0,0,5,5,TRUE
1,0,0,0,2,0,0,0,0,1,0,1,0,1,17,0,5,0,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,5,5,TRUE
0,1,0,0,2,0.5,1,2,0,1,0,4,1,0,4,0,5,0,0,5,5,TRUE
0,0,2,0,1,0,0,0,0,3,1,3,0,1,6,0,6,0,1,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,0,2,0,1,4,0,6,0,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,5,5,TRUE
1,0,2,0,2,0,0,0,0,1,0,5,0,1,8,0,4,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,5,FALSE
0,0,3,0,1,0,0,0,0,11,0,2,0,1,42,2,8,0,7,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,1,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,8,0,0,0,0,5,5,TRUE
0,0,2,0,1,0,0,0,0,4,0,2,0,1,11,1,6,0,2,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,1,1,0,0,0,1,1,1,0,0,1,7,0,0,1,0,5,5,TRUE
0,0,0,0,2,1,1,1,0,1,2,1,0,1,9,0,1,0,0,5,5,TRUE
0,0,2,0,4,1,2,2,0,2,0,10,0,1,18,2,10,0,4,5,5,FALSE
0,0,1,1,3,0,0,0,2,1,2,1,0,1,3,0,4,2,0,5,5,FALSE
0,0,1,1,2,0,0,0,1,1,1,1,0,1,3,0,4,1,0,5,5,TRUE
1,0,0,0,4,0,0,0,0,2,1,6,0,1,13,1,9,0,3,5,5,TRUE
0,1,2,0,3,0.67,2,3,0,6,3,13,1,0,33,3,15,0,9,5,5,TRUE
1,0,0,0,6,0,0,0,0,3,3,4,0,1,14,2,11,0,5,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,6,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,0,5,0,0,5,5,TRUE
0,0,0,1,1,0,0,0,1,1,1,1,0,1,4,0,5,1,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,1,0,3,0,1,6,0,7,0,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,2,0,2,0,1,17,1,6,0,1,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
1,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,6,0,0,5,5,FALSE
1,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,6,0,0,5,5,FALSE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,7,0,1,0,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,1,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,1,1,0,1,5,0,3,0,0,5,5,TRUE
0,0,0,1,1,0,0,0,2,1,2,0,0,1,7,0,0,2,0,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,5,0,0,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,3,0,3,0,1,14,2,5,0,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,2,0,2,0,1,7,1,5,0,0,5,5,TRUE
0,0,4,0,2,0,0,0,0,1,0,5,0,1,5,0,6,0,1,5,5,TRUE
0,0,0,0,2,0,0,0,1,3,1,1,0,1,16,1,8,1,2,5,5,TRUE
0,0,0,0,1,0,0,0,0,1,0,0,0,1,7,0,0,0,0,5,5,TRUE
0,0,0,2,4,0,0,0,2,1,3,1,0,1,3,0,6,2,0,5,5,TRUE
0,0,0,0,3,0,0,0,0,10,1,6,0,1,65,3,8,0,3,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,0,1,0,1,3,0,5,0,0,5,5,TRUE
0,0,0,0,2,0,0,0,0,1,0,3,0,1,4,0,6,0,1,5,5,TRUE
