Contract,Dependents,DeviceProtection,InternetService,MonthlyCharges,MultipleLines,Partner,PaymentMethod,PhoneService,SeniorCitizen,TVProgram,TotalCharges,gender,tenure,Label
Month-to-month,No,No,Fiber optic,77.32820819,No,No,Electronic check,Yes,0,No,306.9937087,Female,4,Yes
Month-to-month,No,No,DSL,30.25867188,No,No,Mailed check,Yes,0,No,30.25867188,Male,1,Yes
Month-to-month,No,No internet service,No,20.45,No,Yes,Credit card (automatic),Yes,0,No internet service,330.8,Female,15,No
Month-to-month,No,No,Fiber optic,81.45,No,No,Electronic check,Yes,0,Yes,912,Male,12,No
Month-to-month,No,No,Fiber optic,70.1,No,No,Mailed check,Yes,0,No,551.35,Male,8,Yes
Month-to-month,No,No,Fiber optic,84.89612854,No,No,Electronic check,Yes,0,No,162.4810672,Female,2,Yes
Month-to-month,Yes,No,DSL,49.2,No,Yes,Electronic check,Yes,0,No,571.15,Male,12,No
Month-to-month,No,No,DSL,30.28695773,No,No,Electronic check,Yes,0,No,30.28695773,Male,1,No
Month-to-month,Yes,No,DSL,55.9,No,Yes,Credit card (automatic),Yes,0,No,365.35,Female,6,Yes
Month-to-month,No,No,DSL,29.8,No phone service,Yes,Bank transfer (automatic),No,1,No,220.45,Male,7,No
Two year,No,Yes,Fiber optic,95.5,No,Yes,Credit card (automatic),Yes,1,No,6707.15,Male,71,No
Two year,No,No internet service,No,19.85,No,No,Credit card (automatic),Yes,0,No internet service,1049.6,Female,53,No
One year,No,No,Fiber optic,107.25,Yes,Yes,Electronic check,Yes,0,Yes,6033.3,Male,56,No
Month-to-month,No,No,Fiber optic,72.85,No,No,Electronic check,Yes,1,No,688.65,Male,10,Yes
Month-to-month,No,Yes,Fiber optic,93.5,Yes,Yes,Electronic check,Yes,1,No,2970.8,Male,32,No
Month-to-month,Yes,No,Fiber optic,97.95,Yes,Yes,Electronic check,Yes,0,Yes,384.5,Female,4,Yes
Two year,Yes,No internet service,No,19.65,No,Yes,Credit card (automatic),Yes,0,No internet service,494.9,Female,26,No
Month-to-month,No,No,DSL,66.6,Yes,Yes,Credit card (automatic),Yes,0,Yes,979.5,Male,14,No
Month-to-month,Yes,No,Fiber optic,90.8,No,Yes,Electronic check,Yes,0,Yes,2361.8,Female,26,Yes
Month-to-month,No,Yes,Fiber optic,88.45,Yes,No,Electronic check,Yes,0,No,1422.1,Female,16,Yes
Month-to-month,Yes,Yes,Fiber optic,75.3,No,Yes,Credit card (automatic),Yes,0,No,1702.9,Female,23,No
Month-to-month,No,Yes,Fiber optic,95.1,No,No,Credit card (automatic),Yes,1,No,180.25,Male,2,Yes
Month-to-month,No,No,Fiber optic,87.02596969,Yes,No,Electronic check,Yes,0,No,1261.075002,Female,14,Yes
Month-to-month,Yes,No internet service,No,19.2,No,No,Mailed check,Yes,0,No internet service,19.2,Male,1,No
Month-to-month,No,No,Fiber optic,96.7,Yes,No,Electronic check,Yes,1,Yes,2082.95,Male,22,Yes
Two year,Yes,Yes,DSL,48.15,No phone service,Yes,Credit card (automatic),No,0,Yes,2032.3,Male,42,No
Month-to-month,Yes,Yes,Fiber optic,103.3,Yes,Yes,Electronic check,Yes,0,Yes,2012.7,Male,19,Yes
Two year,No,Yes,DSL,81.65,No,No,Bank transfer (automatic),Yes,0,Yes,3618.7,Female,45,No
Month-to-month,No,No,DSL,25.1,No phone service,No,Credit card (automatic),No,0,No,712.85,Female,29,Yes
Two year,Yes,No internet service,No,20.4,No,Yes,Credit card (automatic),Yes,0,No internet service,1090.6,Male,54,No
Month-to-month,Yes,Yes,Fiber optic,109.95,Yes,Yes,Electronic check,Yes,0,Yes,3782.4,Male,35,No
Month-to-month,No,Yes,DSL,55.9,No phone service,Yes,Electronic check,No,0,Yes,2184.35,Female,39,Yes
Two year,Yes,No internet service,No,19.7,No,Yes,Credit card (automatic),Yes,0,No internet service,1301.1,Male,71,No
Month-to-month,No,No,DSL,39.3,No phone service,Yes,Electronic check,No,1,Yes,1637.4,Female,40,Yes
Month-to-month,No,Yes,Fiber optic,95.05,Yes,Yes,Electronic check,Yes,1,Yes,4888.7,Female,50,Yes
Month-to-month,No,No,Fiber optic,82.43984748,Yes,No,Electronic check,Yes,0,No,1105.800118,Female,14,No
Two year,Yes,Yes,Fiber optic,98.65,Yes,Yes,Bank transfer (automatic),Yes,0,No,7129.45,Female,72,No
One year,No,Yes,Fiber optic,111.2089175,Yes,Yes,Electronic check,Yes,0,Yes,6920.696509,Male,63,Yes
Month-to-month,No,No internet service,No,19.65,No,No,Mailed check,Yes,0,No internet service,67.55,Male,4,No
Month-to-month,No,Yes,Fiber optic,75.05,No,No,Mailed check,Yes,1,No,202.9,Female,3,No
Month-to-month,No,No internet service,No,20.25,No,No,Mailed check,Yes,0,No internet service,36.8,Male,2,No
Month-to-month,No,No internet service,No,19.45,No,No,Bank transfer (automatic),Yes,0,No internet service,227.45,Female,12,No
Two year,No,No internet service,No,20.65,No,No,Bank transfer (automatic),Yes,0,No internet service,1020.75,Female,51,No
Month-to-month,No,Yes,Fiber optic,75.8,No,No,Electronic check,Yes,0,No,160.75,Female,2,Yes
Two year,No,No internet service,No,19.65,No,No,Bank transfer (automatic),Yes,0,No internet service,779.25,Female,43,No
Two year,No,No internet service,No,20.55,No,Yes,Mailed check,Yes,0,No internet service,1067.65,Male,50,No
Two year,Yes,No internet service,No,24.3,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1643.25,Male,72,No
One year,No,No internet service,No,20,No,No,Mailed check,Yes,0,No internet service,599.3,Female,29,No
Month-to-month,No,No,Fiber optic,80.77939242,Yes,Yes,Electronic check,Yes,0,Yes,2397.892473,Male,30,Yes
Month-to-month,Yes,Yes,Fiber optic,104.2,Yes,Yes,Electronic check,Yes,0,Yes,1743.5,Female,17,Yes
One year,Yes,No internet service,No,24.75,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1342.15,Female,54,No
One year,No,No,Fiber optic,96.1,Yes,Yes,Electronic check,Yes,0,No,6001.45,Male,62,No
Month-to-month,No,No,Fiber optic,82.93683174,Yes,Yes,Electronic check,Yes,0,Yes,2957.108374,Female,38,Yes
Month-to-month,No,No,DSL,59.77907802,No,No,Electronic check,Yes,0,No,59.77907802,Male,1,Yes
One year,Yes,No internet service,No,19.8,No,Yes,Mailed check,Yes,0,No internet service,344.5,Male,19,No
Month-to-month,No,Yes,DSL,35.75,No phone service,No,Electronic check,No,0,No,1022.5,Male,26,No
Month-to-month,No,Yes,Fiber optic,89.35,Yes,No,Credit card (automatic),Yes,0,Yes,631.85,Male,7,Yes
Month-to-month,No,No,Fiber optic,76.32616323,No,No,Electronic check,Yes,0,No,346.898429,Female,4,No
Two year,No,No internet service,No,21,No,No,Bank transfer (automatic),Yes,0,No internet service,1107.2,Male,52,No
One year,No,No,DSL,64.9,No,No,Bank transfer (automatic),Yes,0,Yes,1509.8,Male,23,No
Month-to-month,No,No,DSL,65.1,No,No,Mailed check,Yes,0,Yes,2586,Female,40,No
Month-to-month,No,No,Fiber optic,83.87544099,No,No,Electronic check,Yes,0,No,267.2944674,Female,3,No
Month-to-month,No,No,DSL,66.25,No,No,Mailed check,Yes,0,Yes,620.55,Female,9,Yes
Month-to-month,Yes,No,DSL,51.2,No,No,Mailed check,Yes,0,No,51.2,Female,1,No
Month-to-month,No,No,Fiber optic,24.77586791,Yes,No,Electronic check,Yes,0,No,951.8518298,Male,41,No
Month-to-month,No,Yes,Fiber optic,99.25,Yes,Yes,Electronic check,Yes,0,Yes,2186.4,Male,23,Yes
Month-to-month,No,No,DSL,28.5,No phone service,Yes,Electronic check,No,0,No,629.35,Female,21,No
Month-to-month,No,No,Fiber optic,81.87841268,Yes,Yes,Electronic check,Yes,0,Yes,3416.557941,Male,42,Yes
Month-to-month,No,No,DSL,35.2,No phone service,No,Credit card (automatic),No,0,Yes,108.95,Female,3,Yes
Two year,No,Yes,DSL,54.1,No phone service,Yes,Bank transfer (automatic),No,0,Yes,3794.5,Male,68,No
Month-to-month,Yes,No,DSL,64.1,No,No,Credit card (automatic),Yes,0,Yes,2460.35,Female,40,No
Month-to-month,No,No internet service,No,22.86758676,No,No,Mailed check,Yes,0,No internet service,22.86758676,Male,1,Yes
Month-to-month,No,No,DSL,45.6,No,No,Electronic check,Yes,0,No,45.6,Male,1,Yes
Month-to-month,No,No,Fiber optic,96.05,Yes,No,Bank transfer (automatic),Yes,0,Yes,4399.5,Female,46,Yes
Month-to-month,No,No,Fiber optic,43.16082238,No,No,Electronic check,Yes,0,No,338.9387064,Female,8,Yes
Month-to-month,No,No,Fiber optic,108.15,No,No,Credit card (automatic),Yes,1,Yes,4600.7,Female,43,Yes
Month-to-month,No,No,Fiber optic,80.87864698,No,No,Electronic check,Yes,0,No,175.3476085,Female,2,No
Month-to-month,Yes,No,DSL,54.5,No,Yes,Mailed check,Yes,0,No,2301.15,Male,42,No
Two year,No,Yes,DSL,76.15,Yes,Yes,Bank transfer (automatic),Yes,0,No,4929.55,Male,65,No
One year,No,No,Fiber optic,87.3,No,Yes,Credit card (automatic),Yes,1,No,6055.55,Female,69,No
Two year,Yes,No internet service,No,19.35,No,Yes,Mailed check,Yes,0,No internet service,1031.7,Female,52,No
Month-to-month,No,No,Fiber optic,84.65,Yes,No,Electronic check,Yes,1,Yes,3541.35,Female,42,Yes
Month-to-month,No,No internet service,No,20.1,No,No,Mailed check,Yes,0,No internet service,20.1,Male,1,Yes
One year,No,Yes,Fiber optic,111.95,Yes,No,Electronic check,Yes,1,Yes,6418.9,Female,56,Yes
Month-to-month,No,No,Fiber optic,69.35,No,No,Electronic check,Yes,0,No,69.35,Male,1,Yes
One year,No,Yes,DSL,85.95,Yes,No,Credit card (automatic),Yes,0,Yes,3110.1,Female,35,Yes
Month-to-month,No,Yes,Fiber optic,86.55,No,Yes,Bank transfer (automatic),Yes,1,Yes,1857.25,Male,21,No
One year,Yes,No internet service,No,19.65,No,No,Credit card (automatic),Yes,0,No internet service,928.4,Male,52,No
Month-to-month,No,No,DSL,55.3,No,No,Electronic check,Yes,0,No,196.15,Female,3,Yes
One year,No,Yes,Fiber optic,96.45557041,Yes,Yes,Electronic check,Yes,0,Yes,6050.386962,Male,62,Yes
Month-to-month,Yes,Yes,Fiber optic,87.9,No,Yes,Mailed check,Yes,0,Yes,1500.5,Male,18,No
Month-to-month,Yes,No,Fiber optic,85.35,Yes,Yes,Bank transfer (automatic),Yes,1,Yes,1961.6,Female,22,No
Month-to-month,No,Yes,Fiber optic,82.75,Yes,No,Electronic check,Yes,0,No,417.75,Female,5,No
Month-to-month,No,No,DSL,35.53710287,No,No,Electronic check,Yes,0,No,46.5586237,Male,1,Yes
Month-to-month,No,No,DSL,36.44135576,No,No,Mailed check,Yes,0,No,36.44135576,Female,1,No
Two year,Yes,No internet service,No,19.55,No,Yes,Credit card (automatic),Yes,0,No internet service,1086.75,Male,51,No
Two year,No,No,DSL,52.85,No,No,Bank transfer (automatic),Yes,0,No,1498.65,Female,27,No
Month-to-month,No,No,Fiber optic,73.5,Yes,No,Electronic check,Yes,0,No,632.2,Female,8,No
Two year,No,Yes,DSL,84.5,Yes,No,Bank transfer (automatic),Yes,0,Yes,5193.2,Female,62,No
Two year,Yes,No,DSL,75.5,Yes,Yes,Electronic check,Yes,0,Yes,5229.45,Female,67,No
Month-to-month,No,No,Fiber optic,78.90962827,Yes,No,Electronic check,Yes,0,No,411.8705344,Female,4,Yes
Month-to-month,No,Yes,Fiber optic,89.95,No,No,Mailed check,Yes,0,Yes,1682.4,Male,19,No
Two year,No,No internet service,No,19.45,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1303.5,Female,70,No
Month-to-month,No,Yes,Fiber optic,83.85,Yes,No,Credit card (automatic),Yes,1,No,2716.3,Male,33,Yes
Month-to-month,No,No,Fiber optic,90.65,Yes,No,Electronic check,Yes,0,Yes,367.95,Male,4,No
Month-to-month,No,No,Fiber optic,79.5,No,No,Electronic check,Yes,1,No,2665,Female,32,No
Month-to-month,No,No,Fiber optic,85.05,No,Yes,Credit card (automatic),Yes,0,No,999.8,Male,12,No
One year,Yes,Yes,Fiber optic,111.95,Yes,Yes,Electronic check,Yes,1,Yes,4534.9,Male,41,Yes
Two year,No,No internet service,No,25.25,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1728.2,Male,68,No
Two year,No,Yes,Fiber optic,112.95,Yes,No,Bank transfer (automatic),Yes,0,Yes,6465,Female,57,Yes
Month-to-month,No,No,DSL,25.1,No phone service,No,Mailed check,No,0,No,25.1,Female,1,Yes
Month-to-month,No,Yes,Fiber optic,84.6,No,Yes,Electronic check,Yes,0,No,959.9,Male,12,No
Month-to-month,No,Yes,Fiber optic,106.35,Yes,No,Electronic check,Yes,0,Yes,3549.25,Male,34,Yes
Month-to-month,No,No,DSL,25.15,No phone service,No,Bank transfer (automatic),No,0,No,468.35,Male,19,No
Month-to-month,No,No internet service,No,20.5,No,No,Credit card (automatic),Yes,0,No internet service,402.85,Male,21,No
Month-to-month,Yes,Yes,DSL,81.3,Yes,Yes,Mailed check,Yes,0,Yes,3541.1,Female,45,No
Month-to-month,No,Yes,Fiber optic,100.45,Yes,Yes,Electronic check,Yes,0,Yes,3414.65,Female,34,No
Month-to-month,No,No,DSL,50.35,No,No,Mailed check,Yes,0,No,1411.35,Male,27,No
One year,No,No internet service,No,26.2,Yes,No,Bank transfer (automatic),Yes,0,No internet service,954.9,Male,35,No
Month-to-month,No,No,Fiber optic,86.01337973,No,No,Electronic check,Yes,0,No,311.7130331,Female,3,Yes
Month-to-month,No,No internet service,No,20.25,No,No,Mailed check,Yes,0,No internet service,20.25,Male,1,No
Month-to-month,No,No internet service,No,20.05,No,No,Bank transfer (automatic),Yes,1,No internet service,94.15,Male,5,No
One year,No,No internet service,No,20.8,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1021.8,Female,53,Yes
Month-to-month,No,No,Fiber optic,79.55,No,No,Electronic check,Yes,0,Yes,79.55,Male,1,Yes
Month-to-month,No,No,Fiber optic,49.92596625,Yes,No,Electronic check,Yes,0,No,741.9099874,Male,14,Yes
Month-to-month,No,No,Fiber optic,101.0633653,Yes,Yes,Electronic check,Yes,0,Yes,2735.49186,Male,27,Yes
Month-to-month,Yes,No,DSL,38.55,No phone service,Yes,Credit card (automatic),No,0,Yes,156.1,Male,4,No
Month-to-month,No,No,Fiber optic,80.22065821,No,No,Electronic check,Yes,0,No,80.22065821,Male,1,Yes
Two year,Yes,No internet service,No,20.2,No,Yes,Mailed check,Yes,0,No internet service,1277.75,Female,64,No
Month-to-month,No,No,Fiber optic,47.2027243,Yes,No,Electronic check,Yes,0,No,936.3997116,Female,19,No
One year,No,Yes,Fiber optic,94.15,Yes,No,Electronic check,Yes,0,No,4408.45,Female,46,No
Month-to-month,No,No,Fiber optic,69.65,No,No,Electronic check,Yes,0,No,69.65,Male,1,Yes
Two year,Yes,No internet service,No,24.7,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1685.9,Female,70,No
Month-to-month,No,Yes,Fiber optic,102.95,Yes,No,Credit card (automatic),Yes,0,Yes,6886.25,Female,67,Yes
Month-to-month,No,No,Fiber optic,90.40384968,Yes,No,Electronic check,Yes,0,No,1138.643306,Female,12,Yes
Month-to-month,No,No,Fiber optic,70.44129098,No,No,Electronic check,Yes,0,No,70.44129098,Male,1,Yes
Month-to-month,No,No,DSL,34.7,No phone service,No,Electronic check,No,0,No,62.25,Female,2,Yes
Month-to-month,Yes,No internet service,No,21.05,No,No,Credit card (automatic),Yes,0,No internet service,235.8,Male,12,No
Two year,No,Yes,DSL,73.9,Yes,No,Bank transfer (automatic),Yes,0,No,3958.25,Male,53,No
Two year,No,Yes,DSL,61.15,No,No,Bank transfer (automatic),Yes,0,No,4017.45,Female,66,No
One year,No,Yes,DSL,60.35,No,No,Credit card (automatic),Yes,0,No,2896.4,Female,48,Yes
Two year,Yes,Yes,Fiber optic,104.9,Yes,Yes,Credit card (automatic),Yes,0,No,7732.65,Male,72,No
One year,Yes,Yes,Fiber optic,89.55,Yes,Yes,Electronic check,Yes,0,No,3474.45,Female,39,Yes
Month-to-month,No,No,Fiber optic,95.05,Yes,No,Electronic check,Yes,1,Yes,1290,Female,13,Yes
Month-to-month,No,No internet service,No,20,No,No,Mailed check,Yes,0,No internet service,275.7,Male,16,No
Month-to-month,No,No internet service,No,20.2,No,No,Mailed check,Yes,0,No internet service,20.2,Male,1,Yes
Month-to-month,No,No,Fiber optic,69.4,No,Yes,Mailed check,Yes,0,No,69.4,Female,1,Yes
Month-to-month,No,No,Fiber optic,75.45,Yes,No,Electronic check,Yes,0,No,75.45,Male,1,Yes
Month-to-month,Yes,No,Fiber optic,69.8,No,Yes,Electronic check,Yes,0,No,69.8,Female,1,Yes
Month-to-month,No,No,Fiber optic,85.90297167,No,No,Electronic check,Yes,0,No,371.8280905,Female,4,Yes
One year,No,No internet service,No,19.6,No,No,Mailed check,Yes,0,No internet service,422.5,Male,22,No
Month-to-month,No,No,Fiber optic,55.11755823,No,No,Electronic check,Yes,0,No,156.2302405,Female,3,Yes
One year,No,No internet service,No,19.95,No,No,Mailed check,Yes,0,No internet service,68.2,Male,4,No
Month-to-month,Yes,Yes,Fiber optic,84.05,No,Yes,Mailed check,Yes,0,Yes,2909.95,Male,34,No
Month-to-month,Yes,No,DSL,55.3,No,No,Electronic check,Yes,0,No,2654.05,Male,47,No
Month-to-month,Yes,No,Fiber optic,70.45,No,Yes,Electronic check,Yes,0,No,1470.95,Male,20,Yes
One year,Yes,No internet service,No,20.1,No,Yes,Credit card (automatic),Yes,0,No internet service,620.55,Male,33,No
Month-to-month,No,Yes,Fiber optic,101.4,No,No,Electronic check,Yes,0,Yes,3143.65,Male,31,No
One year,No,Yes,DSL,43.7,No phone service,No,Credit card (automatic),No,0,No,2696.55,Female,61,No
One year,No,No internet service,No,19.35,No,No,Mailed check,Yes,0,No internet service,1033,Female,50,No
Month-to-month,No,No,Fiber optic,90.7,Yes,No,Electronic check,Yes,1,No,3413.25,Male,39,No
One year,No,Yes,Fiber optic,101.2965001,Yes,Yes,Electronic check,Yes,0,Yes,5629.210291,Male,55,Yes
Two year,No,No internet service,No,19.55,No,No,Credit card (automatic),Yes,0,No internet service,1218.65,Male,65,No
Two year,No,No internet service,No,20.65,No,Yes,Credit card (automatic),Yes,0,No internet service,875.55,Female,41,No
Two year,Yes,No internet service,No,25,Yes,Yes,Bank transfer (automatic),Yes,0,No internet service,1738.9,Male,72,No
Month-to-month,No,Yes,Fiber optic,98.6,Yes,No,Credit card (automatic),Yes,0,Yes,2933.2,Female,29,Yes
Month-to-month,Yes,No internet service,No,19.85,No,Yes,Mailed check,Yes,0,No internet service,252,Male,13,No
Two year,Yes,No internet service,No,19.75,No,Yes,Mailed check,Yes,0,No internet service,1344.5,Male,66,No
Month-to-month,No,Yes,Fiber optic,109.4,Yes,No,Bank transfer (automatic),Yes,1,Yes,7031.45,Male,63,No
Month-to-month,No,No,Fiber optic,73.65,No,Yes,Electronic check,Yes,1,No,1463.5,Male,20,Yes
Month-to-month,No,No,Fiber optic,85.5,No,No,Mailed check,Yes,1,No,4042.3,Male,47,Yes
Month-to-month,No,Yes,Fiber optic,91.4,Yes,No,Electronic check,Yes,0,Yes,193.6,Female,2,Yes
One year,Yes,Yes,Fiber optic,85.15,No,No,Electronic check,Yes,0,Yes,3030.6,Male,35,Yes
Month-to-month,No,No,Fiber optic,66.25144339,No,No,Electronic check,Yes,0,No,1127.498729,Female,20,Yes
Month-to-month,Yes,Yes,Fiber optic,95.95,Yes,Yes,Bank transfer (automatic),Yes,0,No,4456.65,Male,45,No
Two year,No,Yes,DSL,65.5,No phone service,Yes,Bank transfer (automatic),No,0,Yes,4919.7,Female,72,No
Month-to-month,No,No,Fiber optic,93.5,No,No,Credit card (automatic),Yes,0,No,4747.5,Male,50,No
Two year,No,Yes,DSL,86.1,Yes,Yes,Electronic check,Yes,0,Yes,4890.5,Male,58,No
Month-to-month,No,No,DSL,44.95,No,No,Mailed check,Yes,0,No,431,Male,9,Yes
One year,No,No,DSL,30.75,No phone service,No,Bank transfer (automatic),No,0,No,1489.3,Male,46,No
One year,No,Yes,DSL,60.25,No,No,Credit card (automatic),Yes,0,No,3282.75,Female,56,No
Month-to-month,No,No,Fiber optic,101.85,Yes,Yes,Electronic check,Yes,1,Yes,4086.3,Male,40,Yes
Month-to-month,No,No,Fiber optic,71.00556737,No,No,Electronic check,Yes,0,No,549.1615455,Female,7,Yes
One year,No,No,DSL,51.55,Yes,No,Credit card (automatic),Yes,0,No,1295.4,Male,26,No
Two year,Yes,Yes,DSL,84,Yes,Yes,Mailed check,Yes,0,Yes,5714.25,Male,66,No
Month-to-month,No,No,Fiber optic,85.55805047,No,No,Electronic check,Yes,0,No,156.4641154,Female,2,Yes
Month-to-month,No,No,Fiber optic,78.7,No,No,Bank transfer (automatic),Yes,0,Yes,1495.1,Male,19,No
Month-to-month,No,No,Fiber optic,70.3,No,No,Electronic check,Yes,0,No,70.3,Male,1,Yes
One year,Yes,No,DSL,54.75,No,No,Credit card (automatic),Yes,0,No,1266.35,Female,25,No
Month-to-month,No,No internet service,No,20.06706296,No,No,Mailed check,Yes,0,No internet service,32.8124016,Male,1,Yes
One year,Yes,No,DSL,53.65,No,Yes,Credit card (automatic),Yes,0,No,696.35,Male,12,Yes
One year,No,No,Fiber optic,90.6,No,Yes,Credit card (automatic),Yes,0,No,6056.15,Male,67,Yes
Month-to-month,No,No,Fiber optic,68.65332728,Yes,Yes,Electronic check,Yes,0,Yes,2806.674776,Male,44,No
Month-to-month,No,Yes,DSL,55.7,Yes,No,Bank transfer (automatic),Yes,0,No,2237.55,Male,41,No
One year,No,No,DSL,70.95,Yes,No,Bank transfer (automatic),Yes,0,No,3629.2,Male,48,No
Month-to-month,Yes,Yes,Fiber optic,102.8,No,Yes,Electronic check,Yes,0,Yes,2110.15,Female,21,Yes
One year,No,No internet service,No,19,No,Yes,Credit card (automatic),Yes,0,No internet service,918.7,Female,49,No
Month-to-month,No,No,DSL,46.89571382,No,No,Electronic check,Yes,0,No,46.89571382,Female,1,Yes
Month-to-month,No,No,DSL,70.3,No,No,Electronic check,Yes,0,Yes,132.4,Male,2,No
Month-to-month,No,No,DSL,38.73417136,No,No,Electronic check,Yes,0,No,137.1482572,Female,3,Yes
Month-to-month,No,No,Fiber optic,56.36594184,No,No,Electronic check,Yes,0,No,532.4131307,Female,9,No
Month-to-month,No,No,Fiber optic,87.1,No,No,Electronic check,Yes,1,Yes,713.6,Female,8,No
One year,Yes,Yes,Fiber optic,108.15,Yes,Yes,Credit card (automatic),Yes,0,Yes,7930.55,Female,70,No
Month-to-month,Yes,No internet service,No,19,No,Yes,Mailed check,Yes,0,No internet service,233.55,Female,12,Yes
Month-to-month,No,No,Fiber optic,80.2626423,No,No,Electronic check,Yes,0,No,330.4888775,Female,3,No
Month-to-month,No,No,DSL,34.25,No phone service,No,Mailed check,No,0,No,139.35,Female,3,Yes
Month-to-month,No,Yes,Fiber optic,106.35,Yes,Yes,Electronic check,Yes,0,Yes,6751.35,Female,61,No
Month-to-month,No,No internet service,No,23.10114964,No,No,Mailed check,Yes,0,No internet service,56.4864795,Male,2,Yes
Month-to-month,Yes,No internet service,No,24.8,Yes,No,Electronic check,Yes,0,No internet service,324.15,Male,15,No
Month-to-month,No,No,Fiber optic,83.42243392,No,No,Electronic check,Yes,0,No,467.5041711,Female,5,No
Month-to-month,No,No,Fiber optic,85.8,No,No,Electronic check,Yes,0,No,272.2,Female,3,Yes
Month-to-month,No,No,DSL,38.9,No phone service,No,Electronic check,No,0,Yes,664.4,Female,16,No
Month-to-month,Yes,No,Fiber optic,81.05,No,Yes,Electronic check,Yes,0,No,81.05,Male,1,No
Month-to-month,No,No,DSL,50.6,Yes,No,Mailed check,Yes,0,No,249.95,Female,5,Yes
Month-to-month,No,No,DSL,51,No phone service,No,Mailed check,No,0,Yes,305.95,Male,5,Yes
Two year,Yes,No internet service,No,23.55,Yes,Yes,Mailed check,Yes,0,No internet service,1173.35,Male,48,No
Two year,No,Yes,DSL,83.85,No,Yes,Credit card (automatic),Yes,0,Yes,4307.1,Male,51,No
Month-to-month,Yes,No,Fiber optic,80.95,Yes,Yes,Electronic check,Yes,1,No,4859.1,Male,60,No
One year,Yes,Yes,DSL,79.4,Yes,Yes,Electronic check,Yes,0,No,4820.55,Female,61,No
Month-to-month,No,Yes,DSL,64.3,No,No,Bank transfer (automatic),Yes,0,Yes,445.95,Male,7,No
Month-to-month,No,No internet service,No,20.6,No,No,Credit card (automatic),Yes,0,No internet service,330.25,Male,16,No
One year,No,Yes,Fiber optic,104.75,Yes,No,Bank transfer (automatic),Yes,1,Yes,5510.65,Female,56,Yes
Two year,No,No,Fiber optic,101.05,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,5971.25,Female,61,No
Two year,No,No internet service,No,19.35,No,Yes,Bank transfer (automatic),Yes,0,No internet service,1319.95,Female,65,No
Month-to-month,No,No,Fiber optic,87.75632933,Yes,No,Electronic check,Yes,0,Yes,1800.522411,Male,20,No
Month-to-month,No,Yes,Fiber optic,101.35,Yes,No,Electronic check,Yes,0,Yes,3334.9,Female,32,No
Month-to-month,No,No,Fiber optic,69.7,No,No,Bank transfer (automatic),Yes,0,No,69.7,Female,1,Yes
Month-to-month,Yes,Yes,Fiber optic,95.5,Yes,Yes,Bank transfer (automatic),Yes,0,No,1916.2,Female,20,No
Month-to-month,Yes,No internet service,No,20.35,No,No,Mailed check,Yes,0,No internet service,178.7,Male,8,No
Month-to-month,No,No,DSL,44.75,No,No,Electronic check,Yes,0,No,44.75,Male,1,No
Month-to-month,No,No,Fiber optic,78.05,No,No,Electronic check,Yes,0,Yes,78.05,Female,1,Yes
One year,Yes,No internet service,No,19.8,No,Yes,Electronic check,Yes,0,No internet service,160.05,Female,8,No
Month-to-month,No,Yes,Fiber optic,82.65,Yes,No,Credit card (automatic),Yes,1,No,1470.05,Female,17,No
Month-to-month,No,No,DSL,37.4632646,No,No,Electronic check,Yes,0,No,81.90813889,Female,2,Yes
Month-to-month,Yes,No,DSL,64.5,No,No,Bank transfer (automatic),Yes,0,No,177.4,Female,3,No
One year,Yes,Yes,Fiber optic,106.1,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,7848.5,Male,72,No
Month-to-month,No,No,Fiber optic,59.38036941,Yes,Yes,Electronic check,Yes,0,Yes,2450.086166,Male,42,Yes
Month-to-month,No,Yes,Fiber optic,101.3,No,No,Credit card (automatic),Yes,0,Yes,1794.65,Male,18,No
One year,Yes,No internet service,No,20,No,Yes,Mailed check,Yes,0,No internet service,817.95,Female,43,No
Month-to-month,No,No,Fiber optic,89.35,No,No,Electronic check,Yes,1,Yes,567.8,Female,6,No
Month-to-month,No,Yes,Fiber optic,89.1,Yes,Yes,Electronic check,Yes,1,No,5618.3,Male,62,No
Two year,Yes,No internet service,No,20.25,No,No,Mailed check,Yes,0,No internet service,2283.300441,Male,0,No
Two year,No,Yes,DSL,88.05,Yes,Yes,Bank transfer (automatic),Yes,0,Yes,6520.8,Female,72,No
Month-to-month,No,No internet service,No,20.3,No,No,Mailed check,Yes,0,No internet service,275.4,Female,13,No
Month-to-month,No,No,Fiber optic,74.95,Yes,No,Electronic check,Yes,0,No,212.4,Female,3,No
Month-to-month,No,No,Fiber optic,73.92348779,No,No,Electronic check,Yes,0,No,160.2245579,Female,2,Yes
Month-to-month,Yes,No,DSL,54.4,No,Yes,Electronic check,Yes,0,Yes,475.1,Male,8,No
One year,Yes,No internet service,No,19.7,No,Yes,Mailed check,Yes,0,No internet service,2283.300441,Male,0,No
